| Drug Name | Sagace URL |
|CTS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CTS|
|CYB|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CYB|
|CYB5AP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CYB5AP|
|CYP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CYP|
|DCAF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DCAF|
|DDX|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DDX|
|DEFA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DEFA|
|DEFB|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DEFB|
|DENND|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DENND|
|DHX|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DHX|
|DN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DN|
|DOLPM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DOLPM|
|DVL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DVL|
|DYN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DYN|
|EFHAND|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=EFHAND|
|EFN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=EFN|
|ELMO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ELMO|
|ELP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ELP|
|EMID|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=EMID|
|ENDOLIG|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ENDOLIG|
|EPH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=EPH|
|ERI|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ERI|
|EXT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=EXT|
|FABP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FABP|
|FADS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FADS|
|FANC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FANC|
|FATHD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FATHD|
|FBLN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FBLN|
|FBXL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FBXL|
|FBXO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FBXO|
|FBXW|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FBXW|
|FERMT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FERMT|
|FIBC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FIBC|
|FN3|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FN3|
|FOX|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FOX|
|FUT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FUT|
|GABR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GABR|
|GATAD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GATAD|
|GGT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GGT|
|GIMAP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GIMAP|
|GJ|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GJ|
|GK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GK|
|GLT1|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GLT1|
|GLT2|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GLT2|
|GLT6|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GLT6|
|GLT8|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GLT8|
|GPATCH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GPATCH|
|ADORA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADORA|
|ADRA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADRA|
|ADRB|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADRB|
|AGTR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AGTR|
|AVPR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=AVPR|
|BDKR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=BDKR|
|BRS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=BRS|
|CCKNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CCKNR|
|CHRM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CHRM|
|CNAR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CNAR|
|CNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CNR|
|ACKR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ACKR|
|CCR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CCR|
|CX3CR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CX3CR|
|CXCR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CXCR|
|XCR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=XCR|
|DRD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DRD|
|EDNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=EDNR|
|F2R|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=F2R|
|FFAR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FFAR|
|FPR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FPR|
|GALR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GALR|
|GHSR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GHSR|
|GNRHR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GNRHR|
|GPCRAO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GPCRAO|
|GTSHR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GTSHR|
|HCAR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HCAR|
|HCRTR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HCRTR|
|HRH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HRH|
|HTRGP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HTRGP|
|LPAR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LPAR|
|S1PR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=S1PR|
|LTNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=LTNR|
|MCHR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=MCHR|
|MCNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=MCNR|
|MLNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=MLNR|
|MTNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=MTNR|
|NMUR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=NMUR|
|NPBWR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=NPBWR|
|NPFFR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=NPFFR|
|NPSR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=NPSR|
|NPYR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=NPYR|
|NTSR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=NTSR|
|OPN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=OPN|
|OPR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=OPR|
|P2RY|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=P2RY|
|PROKR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=PROKR|
|PTAFR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=PTAFR|
|PTGR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=PTGR|
|RFAPR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=RFAPR|
|RVNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=RVNR|
|RXFP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=RXFP|
|SSTR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=SSTR|
|TAAR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=TAAR|
|TACR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=TACR|
|CALCR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CALCR|
|CRHR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CRHR|
|GCGR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GCGR|
|GPCRBO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GPCRBO|
|PTHNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=PTHNR|
|VIPPACR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=VIPPACR|
|CASR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CASR|
|GABBR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GABBR|
|GPCRCO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GPCRCO|
|GRM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GRM|
|FZD|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=FZD|
|ADIPOR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=ADIPOR|
|O7TM|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=O7TM|
|TASNR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=TASNR|
|VN1RU|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=VN1RU|
|GPN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GPN|
|GR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GR|
|GSTK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GSTK|
|MGST|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=MGST|
|SGST|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=SGST|
|GTF|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=GTF|
|HAUS|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HAUS|
|HLA|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HLA|
|HMG|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HMG|
|HMGA1P|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HMGA1P|
|HMGBP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HMGBP|
|HMGNP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HMGNP|
|HMGX|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HMGX|
|CHAP|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=CHAP|
|DNAJ|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=DNAJ|
|HSP70|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HSP70|
|HSPB|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HSPB|
|HSPC|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HSPC|
|HTR|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=HTR|
|IFFO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFFO|
|IFF1|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFF1|
|IFF2|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFF2|
|IFF3|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFF3|
|IFF4|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFF4|
|IFF5|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFF5|
|IFF6|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFF6|
|IFN|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFN|
|IFT|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IFT|
|IGH|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGH|
|IGHO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGHO|
|IGJ|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGJ|
|IGK|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGK|
|IGKO|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGKO|
|IGL|http://sagace.nibio.go.jp/cgi-bin/sagace/search.cgi?action=search&keyword=IGL|
