| Generic Name | Targetmine URL |
|L-Glutamine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Glutamine|
|Adenosine monophosphate|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Adenosine+monophosphate|
|Alpha-Linolenic Acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Alpha-Linolenic+Acid|
|L-Serine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Serine|
|L-Methionine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Methionine|
|L-Tyrosine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Tyrosine|
|Calcitriol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Calcitriol|
|Xanthophyll|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Xanthophyll|
|L-Cystine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Cystine|
|2-Aminophenol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=2-Aminophenol|
|Succinic acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Succinic+acid|
|Riboflavin|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Riboflavin|
|N-Acetyl-D-glucosamine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=N-Acetyl-D-glucosamine|
|L-Glutamic Acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Glutamic+Acid|
|Glutathione|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Glutathione|
|Phosphatidylserine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Phosphatidylserine|
|Glycine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Glycine|
|Calcidiol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Calcidiol|
|Pyridoxal|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Pyridoxal|
|Creatine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Creatine|
|L-Leucine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Leucine|
|L-Tryptophan|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Tryptophan|
|L-Cysteine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Cysteine|
|Thiamine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Thiamine|
|Ergocalciferol|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Ergocalciferol|
|gamma-Homolinolenic acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=gamma-Homolinolenic+acid|
|L-Citrulline|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Citrulline|
|L-Threonine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Threonine|
|NADH|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=NADH|
|Folic Acid|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Folic+Acid|
|Icosapent|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Icosapent|
|L-Alanine|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=L-Alanine|
