| Gene Symbol | Targetmine URL |
|kidney failure|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=kidney+failure|
|uterine cancer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=uterine+cancer|
|thrombotic thrombocytopenic purpura|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=thrombotic+thrombocytopenic+purpura|
|thrombophilia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=thrombophilia|
|peptic ulcer|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=peptic+ulcer|
|essential hypertension|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=essential+hypertension|
|malignant hypertension|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=malignant+hypertension|
|vasculitis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=vasculitis|
|herpangina|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=herpangina|
|tethered spinal cord syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=tethered+spinal+cord+syndrome|
|hydrocephalus|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hydrocephalus|
|Wernicke-Korsakoff syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Wernicke-Korsakoff+syndrome|
|cholesteatoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=cholesteatoma|
|esophageal carcinoma|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=esophageal+carcinoma|
|brucellosis|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=brucellosis|
|Henoch-Schoenlein purpura|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=Henoch-Schoenlein+purpura|
|hypersensitivity reaction type III disease|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=hypersensitivity+reaction+type+III+disease|
|thrombocytopenia|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=thrombocytopenia|
|DiGeorge syndrome|http://targetmine.nibio.go.jp/targetmine/keywordSearchResults.do?searchTerm=DiGeorge+syndrome|
